text	dom	type
['天猫精灵进攻的反义词是什么？']	0	1
['你叫林，江苏农牧科技职业技术学院。']	0	1
['天猫精灵打开200200的会员。😊']	0	1
['天猫精灵耀晚香遇你周末周。']	1	1
['要碗红照三月洲养胃的。']	1	1
['天猫精灵播放泰勒斯威。😔']	0	1
['天猫精灵来碗热乎的皮蛋瘦肉粥吧。']	1	1
['天猫精灵要份土豆豆角萌范吧。']	1	1
['天猫精灵再音量小一点。']	0	1
['天猫精灵来份蒜香小香菜吧。']	1	1
['增大音量，天猫精灵增大音量。']	0	1
['天猫精灵12.6加37.4等于多少？']	0	1
['来碗竹笋老鸡汤。']	1	1
['天猫精灵调到30%。']	0	1
['天猫精灵有炖才吗？']	1	1
['天猫精灵播放周深的缘起全前世今生版。']	0	1
['天猫精灵来碗暖心八宝甜粥。']	1	1
['那你最最最最最喜欢吃的是什么？']	0	1
['天猫精灵来碗香菇肉末汤面吧。']	1	1
['天猫精灵来份葱香娃娃菜吧。']	1	1
['天猫精灵那盘相菇几市在做。']	1	1
['要碗番茄鸡蛋热汤面。']	1	1
['天猫精灵532.7加827.17等于多少？']	0	1
['你等一会儿，天猫精灵关机，我还没换衣服的下回来。']	0	1
['要份加沾西红柿蛋化汤。']	1	1
['我等。']	0	1
['天猫精灵要份小白菜炖嫩豆腐汤吧。']	1	1
['嗯，天猫精灵我在你说听听男人亲女孩子的声音。😊']	0	1
['ワワ。']	0	1
['来份萝卜玉米炖小排糖。']	1	1
['天猫精灵给我播放中国好声音的歌曲。']	0	1
['天猫精灵来碗热乎的香菇瘦肉粥。']	1	1
['天猫精灵来份豆芽粉丝包吧，热乎的。']	1	1
['天猫精灵来份蒜香油梅菜上烧。']	1	1
['天猫精灵8。']	0	1
['天猫精灵来碗家常排骨藕汤吧。']	1	1
['天猫精灵，世界上最傻的人是谁？😊']	0	1
['天猫精灵青豆玉米、肉末、小炒来一份吧。']	1	1
['来碗热乎的黑玉汤，补补身子。']	1	1
['侬好呀，要闻香喷喷的春花爆蛋，蛋炒得能调蟹哦。😔']	1	1
['天猫精灵侬好，今朝想讨一份干煸豆角搭土豆喷香喷香饭，味道老灵光的，谢谢侬哦。']	1	1
['天猫精灵le粉酸香嫩有麦菜。']	1	1
['天猫精灵161的物理伴奏。']	0	1
['天猫精灵14500除以0.95。']	0	1
['天猫精灵给我关掉歌曲，要不然我就揍你。']	0	1
['来份尖椒鸡蛋小炒。']	1	1
['天猫精灵要温乎的饭菜。']	1	1
['天猫精灵280除以8乘5等于。']	0	1
['🎼我想象邓志舞的习惯很多。']	0	1
['哑铃圣蹲钾的正确使用方法。']	0	1
['天猫精灵提高音量到80%。']	0	1
['要碗青菜肉末粥吧。']	1	1
['天猫精灵播放你是陪我走过风雨的人。']	0	1
['天猫精灵怎么绑定酷狗音乐账号？']	0	1
['🎼我想听如今的火烧的寂寞。']	0	1
['天猫精灵来碗风狂蛋花汤面吧。']	1	1
['天猫精灵来碗面筋，白夜热汤。']	1	1
['天猫精灵，我想听周深的灵牙之旅。']	0	1
['天猫精灵来碗南瓜红薯甜粥吧。']	1	1
['天猫精灵播放朱罗罗爆笑故事第310集。']	0	1
['天猫精灵播放阿衰的咆哮日场。']	0	1
['关开关开关开关开，中间的是开还是关。']	0	1
['天猫精灵来份白菜灰木耳吧。']	1	1
['把天猫精灵100个10加起来等于几？']	0	1
['天猫精灵，我宝宝他又在头又在那里转来转去。']	0	1
['天猫精灵，奶粉奶个香喷喷的，顺势这叫反吧。']	1	1
['天猫精灵要碗热乎的皮蛋瘦肉粥吧。']	1	1
['天猫精灵有美不油腻的。']	1	1
['天猫精灵放60声音调到60。']	0	1
['天猫精灵潜水不救是下点的水。']	0	1
['来碗红豆黑米甜粥的。']	1	1
['天猫精灵男人和女人吵架的声音。😡']	0	1
['天猫精灵唱刘若英的当爱在靠近。']	0	1
['要软烂一些的。']	1	1
['天猫精灵要份荷包蛋鲜鱼汤。']	1	1
['我想看超级宝贝汽车之歌。']	0	1
['天猫精灵来份木耳藕片小草吧。']	1	1
['覆盆子要加什么调料？']	0	1
['天猫精灵要个原白菜炒粉条吧。']	1	1
['要玩热乎的皮蛋收收手吧。']	1	1
['天猫精灵要玩香甜南瓜粥。']	1	1
['天猫精灵酷播音乐，我们一起来玩数。😊']	0	1
['天猫精灵要个娃娃菜会嫩豆腐吧。']	1	1
['天猫精灵把音量调到50，然后下一首。']	0	1
['天猫精灵你5月17号是哪？']	0	1
['天猫精灵播放张惠妹的当我开始偷偷想你。']	0	1
['🎼天猫精灵93减78等于多少？']	0	1
['只よ谁。']	0	1
['天猫精灵番茄炒蛋奶粉。😔']	1	1
['天猫精灵来份番茄炒蛋吧。']	1	1
['天猫精灵600除以30等于多少？']	0	1
['你好，天猫书房窗帘打开50%。']	0	1
['天猫精灵来点带汤的饭。']	1	1
['天猫精灵豆角茄子、小草来一份吧。']	1	1
['天猫精灵462乘除以7等于多少？']	0	1
['天猫精灵来碗饭茄牛肉汤面。']	1	1
['天猫精灵把空调温度调低一点。']	0	1
['天猫精灵来碗热乎的红枣黑米粥吧。']	1	1
['天猫精灵来碗养胃的小米粥，隔着枸杞。']	1	1
['天猫精灵要玩永威的小米主板。']	1	1
['播放李文瀚给孩子买鞋。']	0	1
['天猫精灵来份鸡丝炖娃菜吧。']	1	1
['180加200等于多少？']	0	1
['天猫精灵来份包菜炒粉丝吧。']	1	1
['天猫精灵骷髅这个词组的是什么？']	0	1
['天猫精灵来。']	1	1
['猫精放波机声音大一点。']	0	1
['15南瓜小米杨味粥。']	1	1
['天猫精灵来碗热乎的皮蛋瘦肉粥。']	1	1
['天猫精灵请把声音关小一点，声音关小一点。😊']	0	1
['播放神奇鸡蛋人。']	0	1
['2075除以45。']	0	1
['杨艳林两个玉米加两个玉米等于几？😊']	0	1
['天猫精灵来碗西红柿鸡蛋浇饭吧。']	1	1
['猫精灵音量调音量调到40%。']	0	1
['放一首年少的你啊。']	0	1
['什么鬼？天猫精灵帮我设置一个一分钟后的起床闹钟。']	0	1
['这皮卡丘就是你的孩子了。😊']	0	1
['天猫精灵9万乘9万9999等于几？']	0	1
['天猫精灵来碗山药肉帽暖胃粥，热乎的。']	1	1
['天猫精灵要个7鸡蛋看吧。']	1	1
['🎼你好，天猫声音开至30%。']	0	1
['天猫精灵，我要听杨伟宗的我想要。']	0	1
['天猫精灵来碗宣味三食汤吧。']	1	1
['天猫精灵冬瓜排骨汤泡饭来一份。']	1	1
['天猫精灵要那个爸妈常说的白米饭。']	1	1
['天猫精灵来碗热乎的皮蛋瘦肉粥吧。']	1	1
['天猫精灵要份儿萝卜炖排骨汤。']	1	1
['天猫精灵声音放到70%。']	0	1
['勿要一份老甜南瓜面汤，今朝想吃点甜蜜蜜子，侬帮我摆得适得侬点。']	1	1
['天猫精灵你说17乘以7等于多少？']	0	1
['咬个青菜柔愿粉丝糖吧。']	1	1
['交给他天猫精灵天空为什么是蓝色的？']	0	1
['天猫精灵来份菌骨丸子汤。']	1	1
['天猫精灵来碗暖心紫菜蛋花汤吧。']	1	1
['天猫精灵来碗红枣黑米养胃粥吧。']	1	1
['天猫精灵来碗热虎皮蛋瘦肉粥吧。']	1	1
['天猫精灵要个酸酸甜甜的大白菜吧。']	1	1
['马经理，我今年刚满18岁了。']	0	1
['天猫精灵来碗鲜香鲫鱼炖豆腐汤吧。']	1	1
['天猫精灵来碗菌骨老牙汤，补补身子。']	1	1
['来帮我来一份麻油香喷喷土豆搭小白菜，要热腾腾，谢谢侬。']	1	1
['天猫精灵地方鱼塘是不是对的？']	0	1
['天猫精灵要碗热乎的紫菜蛋花虾皮粥。']	1	1
['天猫精灵播放迪迦奥特曼叫声。😊']	0	1
['아 그 건강 하가.']	0	1
['我想听都比上来的秋天。']	0	1
['13.2乘以32除以44。']	0	1
['天猫精灵来玩养胃的小米乐粥。']	1	1
['好天猫精灵小朋小朋友笑的声音。😊']	0	1
['天猫精灵要碗紫薯燕麦营养粥。']	1	1
['🎼我要唱半分兄弟的爱如潮水。']	0	1
['你见过神道大天的游戏吗？刚开始你是个破猴子，还有熊猫。']	0	1
['我想听阮云飞的爱不爱我都可以。😊']	0	1
['天猫精灵来碗热乎阳胃的鱼片粥吧。']	1	1
['来碗暖威的小米南瓜粥吧。']	1	1
['天猫精灵播放下一集0018。']	0	1
['天猫精灵咸汤金针菇猪娃娃菜来一份。']	1	1
['天猫精灵要奋城养生粥。']	1	1
['天猫精灵来碗香菇瘦肉粥吧。']	1	1
['天猫精灵13减7再加4等于。']	0	1
['天猫精灵6加7再加8等于几？😊']	0	1
['天猫精灵不要太油腻的。']	1	1
['🎼天猫精灵播放歌曲，我有一个好爸爸。']	0	1
['天猫精灵来份泰式鲜虾仁小炒吧。']	1	1
['天猫精灵，我想听汪之泷的吉他歌。']	0	1
['你不说你的同学你交换吗？']	0	1
['天猫精灵要个玉米排骨养生汤吧。']	1	1
['天猫精灵来份西红柿鸡蛋盖饭吧。']	1	1
['天猫精灵来碗热乎的小米南瓜粥吧。']	1	1
['天猫精灵要往咸县皮潭速舍走吧。']	1	1
['天猫精灵要碗番茄蛋花汤。']	1	1
['天猫精灵，我想听嗯快速汽车的声音。']	0	1
['天猫精灵等我们把音花的声音。']	0	1
['放小一点不放啦。']	0	1
['天猫精灵要不暖心段胃的南瓜小米粥。']	1	1
['我要唱陈瑞的，我是你不爱的人。']	0	1
['天猫精灵要份圆中鸽子汤炖的暖乎的。']	1	1
['来份蒜庙鸡汤小抄吧。']	1	1
['天猫精您来往3月南瓜粥，热乎养胃的。']	1	1
['要份青菜先蛋粥吧。']	1	1
['天猫精灵说他妈1111集。']	0	1
['我要唱空城的痛苦入了骨。']	0	1
['天猫精灵来碗红豆薏米养胃州。']	1	1
['来份粉条炒黄豆芽吧。']	1	1
['天猫精灵来碗热乎的燕麦薏米养胃粥吧。']	1	1
['🎼自动按摩你需要怎么练？']	0	1
['天猫精灵煮的烂糊点的。']	1	1
['天猫精灵来份排骨炖芋头汤吧。']	1	1
['天猫精灵来碗杂粮养生粥吧。']	1	1
天猫精灵来玩南瓜小米甜粥吧。	1	5
['天猫精灵16乘34除以4等于多少？']	0	2
['天猫精灵打开空调温度调至制冷模式。']	0	2
['🎼我想通过跑步高手运动。']	0	2
['调到最高天猫精灵让扫地机器人出来扫地。']	0	2
['煮的南湖点的菜。']	1	2
['天猫精灵螃蟹为什么会横走呢？']	0	2
['天猫精灵唱爸爸的爸爸是谁呀？']	0	2
['天猫精灵退一下吧，因为我挺挺累了。']	0	2
['天猫精灵要个韭菜炒蛋吧。']	1	2
['，你放一下那个欢乐好声音里头的插曲呗。']	0	2
['思考鳕鱼柳与烤蔬菜对健身有帮助吗？']	0	2
['看看嗯，32减6等于几？']	0	2
['天猫精灵播放吴亦凡处刑结果。']	0	2
['天猫精灵是谁让你三点半去唱歌的？']	0	2
['天猫精灵要玩养胃南瓜粥吧。']	1	2
['天猫精灵要份西红柿鸡蛋捞面。']	1	2
['拉勿6下趟能回。']	1	2
['要碗西红柿卤子面。']	1	2
['奶粉皮蛋瘦肉热粥。']	1	2
['结合批量烹饪的饮食调整。']	0	2
['天猫精灵给小鸡蛋跳个舞吧。']	0	2
['我想看小学满分作文。']	0	2
['窗帘打开到30%。']	0	2
['天猫精灵播放133集。']	0	2
['天猫精灵来来暖味的小米粥吧。']	1	2
['一天猫精灵16加3加1等于多少？😊']	0	2
['天猫精灵打背包球的声音。😊']	0	2
['会不会打怪兽？😊']	0	2
['天猫精灵要个家长资产发卷吧。']	1	2
['天猫精灵183减98。']	0	2
['精灵120除以9等于几？']	0	2
['来份蒜香粉丝蒸的是娃娃菜。']	1	2
['天猫精灵呃，明天早上再播放吧，今天晚上我要睡觉去。😊']	0	2
['天猫精灵来份家常木耳小炒吧。']	1	2
['我想听于周然的鹅仿他。']	0	2
['谢谢你，你可以给我下红心吗？😊']	0	2
['天猫精灵天猫呃，3.14乘25等于多？']	0	2
['🎼叮报叮声音声音开到50%。']	0	2
['来份家常番茄炒蛋吧。']	1	2
['天猫精灵播放安龙和朋友们。😊']	0	2
['天猫精灵来份老北京石叔大杂烩吧。']	1	2
['天猫精灵红枣冰糖甜蜜粥来一颗好。今朝嘴巴里有眼甜蜜蜜，吃眼甜津晶的么子，适宜适宜。']	1	2
['精灵放光头强放熊大的声音。😊']	0	2
['天猫精灵唱爱自己，方阔长命百岁。']	0	2
['我想听许兮兮的新年新辉煌。']	0	2
['天猫精灵什么奥特曼之贝利亚的儿子。']	0	2
['天猫精灵来碗鸡骨汤炖粉丝吧。']	1	2
['来碗热火的汤。😔']	1	2
['推荐点好消化的。']	1	2
['来碗山月排骨粥杨扬威。']	1	2
['明天早上6点1。']	0	2
['我想听李嘉威的非常。']	0	2
['天猫精灵扫地机人开。']	0	2
['找晃动版训练教学。']	0	2
['中间天猫精灵播放斗罗大陆三龙王传说试听部分。']	0	2
['天猫精灵六碗乐夫的老鸭粉丝汤吧。']	1	2
['想吃点暖胃的。']	1	2
['天猫精灵播放天周深天空音乐。']	0	2
['天猫精灵仰天长啸出门去。下一句是？']	0	2
['天猫精灵帅乡镇油麦菜来以份吧。']	1	2
['，精灵55乘10等于多少？']	0	2
['天猫精灵200乘150等于多少？']	0	2
['要碗南瓜、小米粥养胃的。']	1	2
['天猫精灵播放我喜欢听的歌。']	0	2
['🎼我想听杨菊璐的后续。']	0	2
['天猫精灵来点乐乎点的。']	1	2
['天猫精灵来玩南瓜小米粥，杨杨味。']	1	2
['天猫精灵水温度调到36。']	0	2
['天猫精灵冲动的冲的步骤是哪个？']	0	2
['63减27等于多少？']	0	2
['天猫精灵，我有几个闹钟提醒。']	0	2
['天猫精灵要去县咖里去打烫。']	1	2
['天猫精灵要碗红薯、枸杞、甜粥热乎的。']	1	2
['いいとと。']	0	2
['天猫精灵别太憨啊。']	1	2
['来粉清炒娃娃菜暖敷些的。']	1	2
['天猫精灵2乘2乘6.5等于多少？']	0	2
['天猫精灵41乘39等于多少？']	0	2
['来碗杨威的小米南瓜粥吧。']	1	2
['天猫精灵。']	0	2
['天猫精灵来碗小米粥，加点鸡块吧。']	1	2
['嗯，我们梳点老虎的尾巴是什么颜色？。']	0	2
['音量调天猫精灵调整为一倍数。']	0	2
['来点热乎的。']	1	2
['天猫精灵不会牙口的食物。']	1	2
['🎼天猫精灵，有时候你救了也也会把你扔进垃圾场。😊']	0	2
['天猫精灵声音台温开到70%。']	0	2
['我唱我是贝夜小淘气。😊']	0	2
['天猫精灵55.45减47.15。']	0	2
['天猫精灵，你的名字好特殊呀，你能不能取名字叫王雨琪呀？']	0	2
['来碗红枣黑米养胃粥吧。']	1	2
['天猫精灵我看包天翼的英雄之路。']	0	2
['天猫精灵来玩养味的小米绿豆粥吧。']	1	2
['要碗热乎的皮蛋瘦肉粥吧。']	1	2
['天猫精灵来碗香菇牛肉热乎粥。']	1	2
['天猫精灵二的20次方是多少？']	0	2
['天猫精灵来份青椒土豆片吧。']	1	2
['天猫精灵邓丽君的我只在乎你。']	0	2
['天猫精灵这个4加上3加上4是是多少字？😊']	0	2
['夜望南上北打真有酒。']	1	2
['哎，天猫精灵老婆咬我算钱炮吗？']	0	2
['天猫精灵，你是不是不想给我返回呀？']	0	2
['天猫精灵来碗主菜炖汤吧。']	1	2
['来碗萝卜炖排骨汤。']	1	2
['我想听沈奕腾的春。']	0	2
['天猫精灵把你的声音调到最大。']	0	2
['天猫精灵来碗山药鸡溶粥热乎养胃的。']	1	2
['要份番茄鸡蛋盖饭。']	1	2
['放一首爱到1440。']	0	2
['天猫精灵来玩青车比打岳腐走吧。']	1	2
['天猫精灵，我问你呃什么样的小喇叭？']	0	2
['来碗西红柿鸡蛋浇头饭。']	1	2
['天猫精灵32减17等于几？']	0	2
['天猫精灵来份家常菠菜炒蛋吧。']	1	2
['天猫精灵刚才是不是你放的歌啊？']	0	2
['天猫精灵94减339等于几？']	0	2
['来碗热乎养胃小米粥。']	1	2
['天猫精灵播放花园的歌，有小小的花园和大大的花园。还有。😊']	0	2
['来份酸酸甜甜的番茄蛋花糖。']	1	2
['天猫精灵音量调到75，并且关闭。']	0	2
['天猫精灵来一碗番茄蛋汤吧。']	1	2
['天猫精灵红袖可头糟乃衣还有味碟。']	1	2
['我想看国庆节快乐。']	0	2
['天猫精灵声音小一点啊，尽量小一点啊。']	0	2
['点样升灵要换热户个猪肚帘呢咁暖暖位。']	1	2
['天猫精灵播放放放爱心萌盒的故事第11集。']	0	2
['天猫精灵要碗皮蛋瘦肉热粥。']	1	2
['天猫精灵要个芹菜、香干炒肉丝吧。']	1	2
['天猫精灵来份韭菜鸡蛋碎吧。']	1	2
['天猫精灵我跟你说话，你咋不吱声呢？']	0	2
['绳索反向飞鸟的训练怎么做？']	0	2
['天猫顶灵来碗番茄鸡蛋、热汤面，糖多些。']	1	2
['天猫精灵药碗南瓜小米粥养养胃。']	1	2
['天猫精灵继续播放笑话一箩筐。']	0	2
['天猫精灵74.668除以3。']	0	2
['天猫精灵来碗热乎的皮，等受着走吧。']	1	2
['天猫精灵要玩养胃的小米粥。']	1	2
['天猫精灵来份儿酸酸甜甜的番茄炒蛋。']	1	2
['天猫精灵空调开到制冷16度16度。']	0	2
['要个青椒肉丝小炒吧。']	1	2
['天猫精灵来份韭菜鸡蛋，香香锅吧，要热乎的。']	1	2
['天猫精灵热水器跟温度调到38。']	0	2
['来份原白菜粉丝小炒吧。']	1	2
['天猫精灵，那我因为是你好朋友。😊']	0	2
['天猫精灵声音开到50%。']	0	2
['天猫精灵要一份热乎生的猪肉粥。']	1	2
['天猫精灵要个仙君软子汤暖暖味。']	1	2
['精灵24加27等于几？😊']	0	2
['天猫精灵关闭窗帘70%。']	0	2
['🎼我要唱琉璃怪的长篇日记。']	0	2
['要碗番茄蛋花汤热乎的。']	1	2
['要煮的软烂点的。']	1	2
['天猫精灵来碗红枣乌鸡汤吧。']	1	2
['天寞中人一望男生的北大真有酒是谁啦。']	1	2
['天猫精灵100减减100等于。😊']	0	2
['天猫精，你说大声点，我听不见。']	0	2
['来碗南瓜小米粥吧。']	1	2
['天猫精灵来碗酸酸甜甜的番茄汤面吧。']	1	2
['天猫精灵要碗皮蛋鸡丝热粥。']	1	2
['天猫精灵要碗热乎的百合南瓜甜粥吧。']	1	2
['天猫精灵有糖水的吗？']	1	2
['来碗山药红枣养胃粥吧。']	1	2
['好天猫精灵声音稍稍微小一点。']	0	2
['天猫精灵来玩暖暖的小米粥养养味。']	1	2
['天猫精灵酱香手撕包菜来一份吧。']	1	2
['天猫精灵盐碗儿青菜香菇肉末粥。']	1	2
['来玩热乎的，小米南瓜粥吧。']	1	2
['天猫精灵185除以3等于多少？']	0	2
['天猫精灵来一份暖心紫菜蛋花汤。']	1	2
['识你好，天猫播放喜马拉雅听书一人一礼与狗去修仙。']	0	2
['天猫精灵，你咋又不一直给我播放奥特曼的声音？']	0	2
['天猫精灵要份南家小米粥养胃的。']	1	2
['天猫精灵，为什么哎小宝这么熬险呢？']	0	2
['天猫精灵一个白菜豆腐炖粉头把。']	1	2
['天猫精灵播放周深的天猫记忆商店。']	0	2
['要碗热乎呢皮蛋瘦肉粥，养养胃。']	1	2
['推荐点加长的。']	1	2
['我想听曹颖的不止遗憾。']	0	2
['天猫精灵来玩南瓜小米养胃粥吧。']	1	2
['天猫精灵来碗番茄炖牛肉面吧。']	1	2
['我想听赵赵的路上歌。']	0	2
['天猫精灵播放安河桥宋冬野。']	0	2
['3、天猫精灵主人，你说45减7等于多少？']	0	2
['天猫精灵来玩些蛋花汤吧。']	1	2
['天猫精灵来碗香喷喷的稻花米饭吧。']	1	2
['天猫精灵来一个小燕子的声音。']	0	2
['天猫精灵30除以24等于多少？']	0	2
['除以6，天猫精灵4.8除以5。']	0	2
['天猫精灵来碗热的蘑菇鸡丝汤面。']	1	2
['我先睡，让天猫精灵休息啊，休息吧，快点。']	0	2
['天猫精灵来玩蓝心八宝杂粮粥吧。']	1	2
['🎼我要唱张倩的，容意活着。']	0	2
['天猫精灵，你可不可以给我们一点好处？']	0	2
['🎼如何选择准类水分比的项目？']	0	2
['天猫精灵来万勤缴抄单，该缴翻吧。']	1	2
['天猫精灵要往红枣花生奶粥吧。']	1	2
['天猫精灵要换青椒肉丝小炒啊。']	1	2
['听猫毡快猜稍巢吧。']	1	2
['天猫精灵要碗热乎的皮蛋瘦肉粥吧。']	1	2
['天猫精灵西兰花小炒菜一份。']	1	2
['天猫精灵11除以41等于多少？']	0	2
['来碗南瓜小米粥。']	1	2
['我我以前有个好朋友，今天生病了。']	0	2
['后天的太阳是下雨，后天没有太阳。']	0	2
['来碗皮蛋鸡茸粥。']	1	2
['天猫精灵呃，你可以重启一下吗？']	0	2
['天猫精灵来份青椒香干小草吧。']	1	2
['天猫精灵王者荣耀中吕布的职能是什么？']	0	2
['天猫精灵有煮的软的吗？']	1	2
['🎼天猫精灵要玩热乎的皮带售后手。']	1	2
['我想看欢。']	0	2
['天猫精灵鲫鱼豆腐汤来一份热乎的。']	1	2
['天猫精灵请放请播放男生唱的奇迹感线。']	0	2
['天猫精灵连续播放狗叫的声音。']	0	2
['，帮我来一份希得兰的猛烧大白菜，大白菜烧得苏店，勿要太硬，谢谢。😔']	1	2
['天猫精灵来碗紫薯燕麦养胃粥吧。']	1	2
['要个小粉桃喝菜吧。😔']	1	2
['天猫精灵2加1加1加1等于几？']	0	2
['天猫精灵放一篇宋朝的解说。']	0	2
['嗯，还要天猫精灵啊呃孙悟空的声音。']	0	2
['天猫精灵来份番茄鸡蛋盖饭。']	1	2
['奶粉酸香油麦菜要清淡的。']	1	2
['天猫精灵来份干锅炒花菜吧。']	1	2
['天猫精灵来份香辣寿司包菜吧。']	1	2
['天猫精灵要碗玉米青菜粥吧。']	1	2
['天猫精灵请将声音调到50%。']	0	2
['🎼蔬菜鸡肉走丝怎么搭配更合适？']	0	2
['天猫精灵来份紫菜粉丝热汤。']	1	2
['天猫精灵播放张杰的孤独者。']	0	2
['来份清清爽爽的小油麦菜吧。']	1	2
['天猫精灵分首今天天气真好。😊']	0	2
['天猫精灵来份白菜豆腐包，热乎的。']	1	2
['在线查找双臂推举和训练。']	0	2
['先来个慢跑晚支撑锻炼。']	0	2
['天猫精灵3.3乘以0.99。']	0	2
['天猫精灵来份玉林家常拌菜吧。']	1	2
